display  D   display_settings.c:388  _al_score_display_settings       [   0.04314] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04315] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04318] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04319] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04321] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04323] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04325] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04327] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04329] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04331] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04333] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04334] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04336] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04338] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04340] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04342] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04344] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04345] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04348] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04349] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04351] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04353] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04355] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04357] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04359] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04360] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04363] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04364] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04366] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04368] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04371] Single Buffer requirement not met.
